sweep_tag,obs_window,min_residency,threshold_profile,seed,bench,baseline_mode,adaptive_cycles,baseline_cycles,cycle_reduction_pct,adaptive_wins_cycles,adaptive_ipc,baseline_ipc,ipc_improvement_pct,adaptive_energy,baseline_energy,energy_reduction_pct
w16_r24_thtight_seed0,16,24,tight,0,arithmetic_heavy,fixed_memory,30,30,0.00,False,0.7333,0.7333,0.00,176,176,0.00
w16_r24_thtight_seed0,16,24,tight,0,arithmetic_heavy,fixed_hazard,30,29,-3.45,False,0.7333,0.7586,-3.34,176,173,-1.73
w16_r24_thtight_seed0,16,24,tight,0,arithmetic_heavy,fixed_low_power,30,30,0.00,False,0.7333,0.7333,0.00,176,116,-51.72
w16_r24_thtight_seed0,16,24,tight,0,branch_heavy,static_normal,114,128,10.94,True,0.6491,0.5781,12.28,633,678,6.64
w16_r24_thtight_seed0,16,24,tight,0,branch_heavy,fixed_branch,114,105,-8.57,False,0.6491,0.7048,-7.90,633,609,-3.94
w16_r24_thtight_seed0,16,24,tight,0,branch_heavy,fixed_memory,114,128,10.94,True,0.6491,0.5781,12.28,633,678,6.64
w16_r24_thtight_seed0,16,24,tight,0,branch_heavy,fixed_hazard,114,127,10.24,True,0.6491,0.5827,11.40,633,675,6.22
w16_r24_thtight_seed0,16,24,tight,0,branch_heavy,fixed_low_power,114,128,10.94,True,0.6491,0.5781,12.28,633,422,-50.00
w16_r24_thtight_seed0,16,24,tight,0,coremark_toy,static_normal,170,162,-4.94,False,0.6647,0.6975,-4.70,973,957,-1.67
w16_r24_thtight_seed0,16,24,tight,0,coremark_toy,fixed_branch,170,151,-12.58,False,0.6647,0.7483,-11.17,973,913,-6.57
w16_r24_thtight_seed0,16,24,tight,0,coremark_toy,fixed_memory,170,154,-10.39,False,0.6647,0.7338,-9.42,973,923,-5.42
w16_r24_thtight_seed0,16,24,tight,0,coremark_toy,fixed_hazard,170,150,-13.33,False,0.6647,0.7533,-11.76,973,927,-4.96
w16_r24_thtight_seed0,16,24,tight,0,coremark_toy,fixed_low_power,170,162,-4.94,False,0.6647,0.6975,-4.70,973,633,-53.71
w16_r24_thtight_seed0,16,24,tight,0,dhrystone_toy,static_normal,133,133,0.00,False,0.7970,0.7970,0.00,825,825,0.00
w16_r24_thtight_seed0,16,24,tight,0,dhrystone_toy,fixed_branch,133,124,-7.26,False,0.7970,0.8548,-6.76,825,798,-3.38
w16_r24_thtight_seed0,16,24,tight,0,dhrystone_toy,fixed_memory,133,131,-1.53,False,0.7970,0.8092,-1.51,825,815,-1.23
w16_r24_thtight_seed0,16,24,tight,0,dhrystone_toy,fixed_hazard,133,133,0.00,False,0.7970,0.7970,0.00,825,825,0.00
w16_r24_thtight_seed0,16,24,tight,0,dhrystone_toy,fixed_low_power,133,133,0.00,False,0.7970,0.7970,0.00,825,559,-47.58
w16_r24_thtight_seed0,16,24,tight,0,dsp_fir_codegen,static_normal,203,192,-5.73,False,0.6158,0.6510,-5.41,1118,1106,-1.08
w16_r24_thtight_seed0,16,24,tight,0,dsp_fir_codegen,fixed_branch,203,185,-9.73,False,0.6158,0.6757,-8.86,1118,1085,-3.04
w16_r24_thtight_seed0,16,24,tight,0,dsp_fir_codegen,fixed_memory,203,170,-19.41,False,0.6158,0.7353,-16.25,1118,1008,-10.91
w16_r24_thtight_seed0,16,24,tight,0,dsp_fir_codegen,fixed_hazard,203,168,-20.83,False,0.6158,0.7440,-17.23,1118,1046,-6.88
w16_r24_thtight_seed0,16,24,tight,0,dsp_fir_codegen,fixed_low_power,203,192,-5.73,False,0.6158,0.6510,-5.41,1118,722,-54.85
w16_r24_thtight_seed0,16,24,tight,0,load_use_heavy,static_normal,178,205,13.17,True,0.7191,0.6244,15.17,1039,1125,7.64
w16_r24_thtight_seed0,16,24,tight,0,load_use_heavy,fixed_branch,178,188,5.32,True,0.7191,0.6809,5.61,1039,1074,3.26
w16_r24_thtight_seed0,16,24,tight,0,load_use_heavy,fixed_memory,178,205,13.17,True,0.7191,0.6244,15.17,1039,1125,7.64
w16_r24_thtight_seed0,16,24,tight,0,load_use_heavy,fixed_hazard,178,169,-5.33,False,0.7191,0.7574,-5.06,1039,1017,-2.16
w16_r24_thtight_seed0,16,24,tight,0,load_use_heavy,fixed_low_power,178,205,13.17,True,0.7191,0.6244,15.17,1039,715,-45.31
w16_r24_thtight_seed0,16,24,tight,0,memory_heavy,static_normal,210,231,9.09,True,0.4762,0.4329,10.00,1066,1231,13.40
w16_r24_thtight_seed0,16,24,tight,0,memory_heavy,fixed_branch,210,218,3.67,True,0.4762,0.4587,3.82,1066,1192,10.57
